utterance_id,conv_id,turn_id,intent_id,intent_confidence,sb_binary,turn_id_norm
utterance_4_66,4,66,7,0.9,0,0.9166666666666666
utterance_4_68,4,68,1,0.9,0,0.9444444444444444
utterance_4_70,4,70,4,0.9,0,0.9722222222222222
utterance_4_72,4,72,10,0.9,0,1.0
utterance_5_1,5,1,4,0.9,0,0.047619047619047616
utterance_5_3,5,3,0,0.9,0,0.14285714285714285
utterance_5_5,5,5,7,0.9,0,0.23809523809523808
utterance_5_7,5,7,7,0.9,0,0.3333333333333333
utterance_5_10,5,10,7,0.9,0,0.47619047619047616
utterance_5_12,5,12,9,0.9,0,0.5714285714285714
utterance_5_13,5,13,8,0.9,0,0.6190476190476191
utterance_5_15,5,15,8,0.9,1,0.7142857142857143
utterance_5_18,5,18,5,1.0,0,0.8571428571428571
utterance_5_21,5,21,2,0.9,0,1.0
utterance_6_3,6,3,7,0.9,0,0.12
utterance_6_8,6,8,7,0.9,0,0.32
utterance_6_11,6,11,7,0.9,0,0.44
utterance_6_15,6,15,6,0.9,0,0.6
utterance_6_18,6,18,1,0.9,0,0.72
utterance_6_25,6,25,8,0.9,0,1.0
utterance_7_4,7,4,4,0.9,0,0.14285714285714285
utterance_7_6,7,6,4,0.9,1,0.21428571428571427
utterance_7_14,7,14,8,0.9,1,0.5
utterance_7_23,7,23,6,0.9,0,0.8214285714285714
utterance_7_28,7,28,6,0.9,0,1.0
utterance_8_0,8,0,0,0.9,0,0.0
utterance_8_2,8,2,0,0.9,0,0.11764705882352941
utterance_8_4,8,4,4,0.9,0,0.23529411764705882
utterance_8_6,8,6,7,0.9,0,0.35294117647058826
utterance_8_8,8,8,7,0.9,0,0.47058823529411764
utterance_8_10,8,10,0,0.9,0,0.5882352941176471
utterance_8_13,8,13,7,0.9,0,0.7647058823529411
utterance_8_15,8,15,6,0.9,0,0.8823529411764706
utterance_8_17,8,17,3,1.0,0,1.0
utterance_9_5,9,5,4,0.9,0,0.16129032258064516
utterance_9_8,9,8,9,0.9,0,0.25806451612903225
utterance_9_10,9,10,7,0.9,0,0.3225806451612903
utterance_9_14,9,14,9,0.9,0,0.45161290322580644
utterance_9_17,9,17,8,0.9,0,0.5483870967741935
utterance_9_21,9,21,7,0.9,1,0.6774193548387096
utterance_9_25,9,25,4,0.9,0,0.8064516129032258
utterance_9_26,9,26,7,0.9,0,0.8387096774193549
utterance_9_28,9,28,4,0.9,0,0.9032258064516129
utterance_9_31,9,31,9,0.9,1,1.0
utterance_11_1,11,1,7,0.9,0,0.03571428571428571
utterance_11_5,11,5,9,0.9,0,0.17857142857142858
utterance_11_9,11,9,4,0.9,0,0.32142857142857145
utterance_11_12,11,12,7,0.9,1,0.42857142857142855
utterance_11_14,11,14,4,0.9,0,0.5
utterance_11_20,11,20,4,0.9,1,0.7142857142857143
utterance_11_25,11,25,4,0.9,1,0.8928571428571429
utterance_11_27,11,27,5,0.9,0,0.9642857142857143
utterance_11_28,11,28,5,1.0,0,1.0
utterance_12_2,12,2,4,0.8,0,0.08695652173913043
utterance_12_3,12,3,7,0.9,1,0.13043478260869565
utterance_12_5,12,5,7,0.9,0,0.21739130434782608
utterance_12_7,12,7,7,0.9,0,0.30434782608695654
utterance_12_10,12,10,7,0.9,0,0.43478260869565216
utterance_12_12,12,12,7,0.9,0,0.5217391304347826
utterance_12_14,12,14,4,0.9,1,0.6086956521739131
utterance_12_15,12,15,8,0.9,1,0.6521739130434783
utterance_12_18,12,18,6,0.9,0,0.782608695652174
utterance_12_19,12,19,8,0.9,1,0.8260869565217391
utterance_12_23,12,23,4,0.9,1,1.0
utterance_15_0,15,0,4,0.9,0,0.0
utterance_15_4,15,4,0,0.9,0,0.09090909090909091
utterance_15_6,15,6,0,0.9,0,0.13636363636363635
utterance_15_12,15,12,7,0.9,0,0.2727272727272727
utterance_15_15,15,15,8,0.9,0,0.3409090909090909
utterance_15_18,15,18,5,0.9,0,0.4090909090909091
utterance_15_22,15,22,9,0.9,0,0.5
utterance_15_24,15,24,9,0.9,0,0.5454545454545454
utterance_15_31,15,31,5,0.9,1,0.7045454545454546
utterance_15_34,15,34,1,0.9,0,0.7727272727272727
utterance_15_36,15,36,5,0.9,0,0.8181818181818182
utterance_15_38,15,38,1,0.9,0,0.8636363636363636
utterance_15_40,15,40,6,0.9,0,0.9090909090909091
utterance_15_44,15,44,5,0.9,0,1.0
utterance_16_2,16,2,4,0.9,0,0.09523809523809523
utterance_16_4,16,4,7,0.9,0,0.19047619047619047
utterance_16_6,16,6,7,0.9,0,0.2857142857142857
utterance_16_8,16,8,4,0.9,0,0.38095238095238093
utterance_16_10,16,10,4,0.9,0,0.47619047619047616
utterance_16_13,16,13,8,0.9,1,0.6190476190476191
utterance_16_16,16,16,4,0.9,0,0.7619047619047619
utterance_16_20,16,20,6,0.9,1,0.9523809523809523
utterance_16_21,16,21,5,0.9,0,1.0
utterance_17_3,17,3,4,0.9,0,0.15
utterance_17_5,17,5,4,0.9,0,0.25
utterance_17_10,17,10,7,0.9,0,0.5
utterance_17_12,17,12,7,0.9,0,0.6
utterance_17_15,17,15,4,0.9,0,0.75
utterance_17_17,17,17,4,0.9,0,0.85
utterance_17_19,17,19,5,0.9,0,0.95
utterance_17_20,17,20,3,0.9,0,1.0
utterance_18_4,18,4,4,0.9,0,0.18181818181818182
utterance_18_8,18,8,9,0.9,0,0.36363636363636365
utterance_18_10,18,10,9,0.9,0,0.45454545454545453
utterance_18_11,18,11,9,0.9,1,0.5
utterance_18_16,18,16,8,0.8,0,0.7272727272727273
utterance_18_22,18,22,8,0.8,0,1.0
utterance_19_2,19,2,4,0.9,1,0.10526315789473684
utterance_19_4,19,4,4,0.9,0,0.21052631578947367
utterance_19_6,19,6,4,0.9,0,0.3157894736842105
utterance_19_8,19,8,9,0.9,0,0.42105263157894735
utterance_19_10,19,10,1,0.9,0,0.5263157894736842
utterance_19_13,19,13,4,0.9,1,0.6842105263157895
utterance_19_15,19,15,9,0.9,0,0.7894736842105263
utterance_19_17,19,17,6,0.9,0,0.8947368421052632
utterance_19_19,19,19,5,0.9,0,1.0
utterance_21_2,21,2,4,0.9,0,0.1
utterance_21_4,21,4,7,0.9,0,0.2
utterance_21_6,21,6,4,0.9,1,0.3
utterance_21_8,21,8,9,0.9,1,0.4
utterance_21_10,21,10,0,0.9,0,0.5
utterance_21_12,21,12,0,0.9,0,0.6
utterance_21_14,21,14,8,0.9,1,0.7
utterance_21_16,21,16,9,0.9,0,0.8
utterance_21_18,21,18,5,0.9,0,0.9
utterance_21_20,21,20,3,0.9,0,1.0
utterance_23_0,23,0,10,0.9,0,0.0
utterance_23_2,23,2,0,0.9,0,0.08333333333333333
utterance_23_4,23,4,4,0.9,0,0.16666666666666666
utterance_23_7,23,7,7,0.9,1,0.2916666666666667
utterance_23_10,23,10,7,0.9,0,0.4166666666666667
utterance_23_14,23,14,4,0.9,0,0.5833333333333334
utterance_23_15,23,15,7,0.9,0,0.625
utterance_23_18,23,18,6,0.9,0,0.75
utterance_23_20,23,20,1,0.9,0,0.8333333333333334
utterance_23_21,23,21,4,0.9,0,0.875
utterance_23_23,23,23,5,1.0,0,0.9583333333333334
utterance_23_24,23,24,5,1.0,0,1.0
utterance_25_2,25,2,4,0.9,0,0.08333333333333333
utterance_25_4,25,4,4,0.9,0,0.16666666666666666
utterance_25_5,25,5,4,0.9,0,0.20833333333333334
utterance_25_7,25,7,4,0.9,0,0.2916666666666667
utterance_25_8,25,8,4,0.9,0,0.3333333333333333
utterance_25_12,25,12,9,0.9,0,0.5
utterance_25_18,25,18,9,0.9,0,0.75
utterance_25_20,25,20,6,0.9,0,0.8333333333333334
utterance_25_22,25,22,5,0.9,0,0.9166666666666666
utterance_25_24,25,24,3,0.9,0,1.0
utterance_26_1,26,1,4,0.9,0,0.025
utterance_26_3,26,3,4,0.9,0,0.075
utterance_26_5,26,5,9,0.9,0,0.125
utterance_26_7,26,7,9,0.9,0,0.175
utterance_26_9,26,9,4,0.9,0,0.225
utterance_26_10,26,10,4,0.9,1,0.25
utterance_26_12,26,12,4,0.9,0,0.3
utterance_26_15,26,15,9,0.9,0,0.375
utterance_26_17,26,17,4,0.9,0,0.425
utterance_26_19,26,19,4,0.9,1,0.475
utterance_26_22,26,22,9,0.9,0,0.55
utterance_26_23,26,23,9,0.9,0,0.575
utterance_26_25,26,25,0,0.9,0,0.625
utterance_26_26,26,26,0,0.9,0,0.65
utterance_26_28,26,28,8,0.9,1,0.7
utterance_26_30,26,30,0,0.9,1,0.75
utterance_26_32,26,32,8,0.8,0,0.8
utterance_26_34,26,34,8,0.8,0,0.85
utterance_26_36,26,36,9,0.9,1,0.9
utterance_26_38,26,38,4,0.9,1,0.95
utterance_26_40,26,40,6,0.9,1,1.0
utterance_27_0,27,0,10,0.9,0,0.0
utterance_27_2,27,2,8,0.9,0,0.1
utterance_27_4,27,4,7,0.9,0,0.2
utterance_27_5,27,5,7,0.9,1,0.25
utterance_27_7,27,7,4,0.9,0,0.35
utterance_27_10,27,10,4,0.9,0,0.5
utterance_27_12,27,12,6,0.9,1,0.6
utterance_27_13,27,13,9,0.9,1,0.65
utterance_27_15,27,15,6,0.9,0,0.75
utterance_27_18,27,18,1,0.9,0,0.9
utterance_27_20,27,20,5,0.9,1,1.0
utterance_28_2,28,2,4,0.9,0,0.09090909090909091
utterance_28_4,28,4,1,0.9,0,0.18181818181818182
utterance_28_6,28,6,0,0.9,0,0.2727272727272727
utterance_28_8,28,8,4,0.9,0,0.36363636363636365
utterance_28_10,28,10,8,0.85,1,0.45454545454545453
utterance_28_12,28,12,0,1.0,0,0.5454545454545454
utterance_28_14,28,14,1,0.9,0,0.6363636363636364
utterance_28_16,28,16,2,0.9,0,0.7272727272727273
utterance_28_20,28,20,5,0.9,0,0.9090909090909091
utterance_28_22,28,22,5,0.9,0,1.0
utterance_29_3,29,3,4,0.9,0,0.14285714285714285
utterance_29_4,29,4,8,0.9,1,0.19047619047619047
utterance_29_9,29,9,4,0.9,0,0.42857142857142855
utterance_29_13,29,13,4,0.9,0,0.6190476190476191
utterance_29_15,29,15,8,0.9,1,0.7142857142857143
utterance_29_17,29,17,8,0.9,0,0.8095238095238095
utterance_29_19,29,19,4,0.9,1,0.9047619047619048
utterance_29_21,29,21,4,0.9,0,1.0
utterance_31_1,31,1,4,0.95,0,0.05
utterance_31_3,31,3,9,0.9,0,0.15
utterance_31_5,31,5,9,0.9,0,0.25
utterance_31_7,31,7,0,0.9,0,0.35
utterance_31_9,31,9,7,0.9,0,0.45
utterance_31_11,31,11,9,0.9,0,0.55
utterance_31_13,31,13,4,0.9,0,0.65
utterance_31_14,31,14,0,0.9,0,0.7
utterance_31_17,31,17,0,0.9,0,0.85
utterance_31_18,31,18,8,0.8,0,0.9
utterance_31_20,31,20,0,0.9,0,1.0
utterance_34_0,34,0,0,0.9,0,0.0
utterance_34_1,34,1,0,0.9,0,0.03571428571428571
utterance_34_4,34,4,5,1.0,0,0.14285714285714285
utterance_34_5,34,5,0,0.9,0,0.17857142857142858
utterance_34_7,34,7,0,0.9,0,0.25
utterance_34_9,34,9,5,0.9,0,0.32142857142857145
utterance_34_10,34,10,2,0.9,0,0.35714285714285715
utterance_34_12,34,12,4,0.9,0,0.42857142857142855
utterance_34_14,34,14,4,0.9,0,0.5
utterance_34_16,34,16,8,0.9,0,0.5714285714285714
utterance_34_20,34,20,8,0.9,1,0.7142857142857143
utterance_34_21,34,21,4,0.9,0,0.75
utterance_34_22,34,22,2,0.9,0,0.7857142857142857
utterance_34_24,34,24,5,0.9,0,0.8571428571428571
utterance_34_27,34,27,3,0.9,0,0.9642857142857143
utterance_34_28,34,28,4,0.8,0,1.0
utterance_35_1,35,1,7,0.9,0,0.029411764705882353
utterance_35_3,35,3,9,0.9,0,0.08823529411764706
utterance_35_6,35,6,4,0.9,0,0.17647058823529413
utterance_35_8,35,8,9,0.9,0,0.23529411764705882
utterance_35_11,35,11,4,0.9,1,0.3235294117647059
utterance_35_12,35,12,9,0.9,0,0.35294117647058826
utterance_35_17,35,17,9,0.9,0,0.5
utterance_35_19,35,19,6,0.9,0,0.5588235294117647
utterance_35_23,35,23,7,0.9,0,0.6764705882352942
utterance_35_25,35,25,6,0.9,1,0.7352941176470589
utterance_35_28,35,28,6,0.9,0,0.8235294117647058
utterance_35_32,35,32,4,0.9,0,0.9411764705882353
utterance_35_34,35,34,5,0.9,0,1.0
utterance_36_4,36,4,4,0.9,0,0.09523809523809523
utterance_36_5,36,5,9,0.9,1,0.11904761904761904
utterance_36_11,36,11,8,0.9,0,0.2619047619047619
utterance_36_15,36,15,8,0.9,1,0.35714285714285715
utterance_36_19,36,19,4,0.9,1,0.4523809523809524
utterance_36_20,36,20,8,0.9,1,0.47619047619047616
utterance_36_22,36,22,8,0.9,1,0.5238095238095238
utterance_36_23,36,23,8,0.9,1,0.5476190476190477
utterance_36_39,36,39,4,0.9,0,0.9285714285714286
utterance_36_42,36,42,8,0.9,1,1.0
utterance_37_1,37,1,4,0.9,0,0.03225806451612903
utterance_37_3,37,3,9,0.9,0,0.0967741935483871
utterance_37_5,37,5,1,0.9,0,0.16129032258064516
utterance_37_6,37,6,8,0.9,0,0.1935483870967742
utterance_37_10,37,10,4,0.9,0,0.3225806451612903
utterance_37_12,37,12,9,0.9,0,0.3870967741935484
utterance_37_14,37,14,4,0.9,0,0.45161290322580644
utterance_37_16,37,16,9,0.9,0,0.5161290322580645
utterance_37_18,37,18,4,0.9,0,0.5806451612903226
utterance_37_20,37,20,6,0.9,0,0.6451612903225806
utterance_37_21,37,21,6,0.9,0,0.6774193548387096
utterance_37_23,37,23,6,0.9,0,0.7419354838709677
utterance_37_25,37,25,3,0.9,0,0.8064516129032258
utterance_37_27,37,27,6,0.9,0,0.8709677419354839
utterance_37_28,37,28,5,1.0,0,0.9032258064516129
utterance_37_30,37,30,5,1.0,0,0.967741935483871
utterance_37_31,37,31,10,0.9,0,1.0
utterance_38_5,38,5,7,0.9,0,0.1388888888888889
utterance_38_9,38,9,9,0.9,0,0.25
utterance_38_10,38,10,7,0.9,0,0.2777777777777778
utterance_38_15,38,15,7,0.9,0,0.4166666666666667
utterance_38_16,38,16,0,0.9,0,0.4444444444444444
utterance_38_20,38,20,0,0.9,0,0.5555555555555556
utterance_38_28,38,28,2,0.9,0,0.7777777777777778
utterance_38_30,38,30,6,0.9,0,0.8333333333333334
utterance_38_31,38,31,0,0.9,0,0.8611111111111112
utterance_38_33,38,33,6,0.9,0,0.9166666666666666
utterance_38_36,38,36,5,0.9,0,1.0
utterance_39_1,39,1,7,0.9,0,0.041666666666666664
utterance_39_3,39,3,7,0.9,0,0.125
utterance_39_5,39,5,7,0.9,0,0.20833333333333334
utterance_39_7,39,7,7,0.9,0,0.2916666666666667
utterance_39_8,39,8,8,0.8,0,0.3333333333333333
utterance_39_10,39,10,5,0.9,1,0.4166666666666667
utterance_39_12,39,12,4,0.9,0,0.5
utterance_39_15,39,15,4,0.85,0,0.625
utterance_39_16,39,16,9,0.9,1,0.6666666666666666
utterance_39_18,39,18,4,0.8,1,0.75
utterance_39_20,39,20,8,0.9,1,0.8333333333333334
utterance_39_24,39,24,5,0.9,0,1.0
utterance_40_4,40,4,4,0.9,0,0.06451612903225806
utterance_40_6,40,6,9,0.9,0,0.0967741935483871
utterance_40_7,40,7,9,0.9,0,0.11290322580645161
utterance_40_8,40,8,7,0.9,0,0.12903225806451613
utterance_40_10,40,10,8,0.9,0,0.16129032258064516
utterance_40_12,40,12,8,0.9,1,0.1935483870967742
utterance_40_13,40,13,4,0.9,0,0.20967741935483872
utterance_40_15,40,15,8,0.9,0,0.24193548387096775
utterance_40_17,40,17,9,0.9,0,0.27419354838709675
utterance_40_18,40,18,6,0.9,1,0.2903225806451613
utterance_40_23,40,23,9,0.9,0,0.3709677419354839
utterance_40_29,40,29,9,0.8,0,0.46774193548387094
utterance_40_31,40,31,9,0.9,0,0.5
utterance_40_32,40,32,9,0.9,1,0.5161290322580645
utterance_40_33,40,33,9,0.9,1,0.532258064516129
utterance_40_35,40,35,4,0.9,0,0.5645161290322581
utterance_40_37,40,37,8,0.9,0,0.5967741935483871
utterance_40_39,40,39,7,0.9,1,0.6290322580645161
utterance_40_41,40,41,7,0.9,0,0.6612903225806451
utterance_40_42,40,42,8,0.9,0,0.6774193548387096
utterance_40_46,40,46,8,0.9,1,0.7419354838709677
utterance_40_48,40,48,9,0.9,1,0.7741935483870968
utterance_40_49,40,49,9,0.9,1,0.7903225806451613
utterance_40_50,40,50,4,0.9,0,0.8064516129032258
utterance_40_53,40,53,7,0.9,1,0.8548387096774194
utterance_40_56,40,56,9,0.9,0,0.9032258064516129
utterance_40_58,40,58,7,0.9,0,0.9354838709677419
utterance_40_60,40,60,1,0.9,0,0.967741935483871
utterance_40_61,40,61,0,0.9,0,0.9838709677419355
utterance_40_62,40,62,8,0.9,1,1.0
utterance_41_2,41,2,8,0.9,1,0.07142857142857142
utterance_41_4,41,4,7,0.9,0,0.14285714285714285
utterance_41_6,41,6,9,0.9,0,0.21428571428571427
utterance_41_9,41,9,9,0.9,0,0.32142857142857145
utterance_41_12,41,12,0,0.9,0,0.42857142857142855
utterance_41_17,41,17,0,0.9,0,0.6071428571428571
utterance_41_20,41,20,8,0.8,0,0.7142857142857143
utterance_41_21,41,21,9,0.9,0,0.75
utterance_41_23,41,23,9,0.9,0,0.8214285714285714
utterance_41_24,41,24,9,0.9,1,0.8571428571428571
utterance_41_25,41,25,4,0.9,1,0.8928571428571429
utterance_41_26,41,26,3,0.9,0,0.9285714285714286
utterance_41_28,41,28,4,0.9,0,1.0
utterance_42_2,42,2,9,0.9,0,0.125
utterance_42_4,42,4,9,0.9,0,0.25
utterance_42_6,42,6,4,0.9,0,0.375
utterance_42_8,42,8,7,0.9,0,0.5
utterance_42_10,42,10,7,0.9,0,0.625
utterance_42_12,42,12,1,0.9,0,0.75
utterance_42_14,42,14,7,0.9,0,0.875
utterance_42_16,42,16,8,0.8,0,1.0
utterance_43_1,43,1,4,0.9,0,0.05263157894736842
utterance_43_3,43,3,7,0.9,0,0.15789473684210525
utterance_43_5,43,5,1,0.9,0,0.2631578947368421
utterance_43_7,43,7,7,0.9,0,0.3684210526315789
utterance_43_9,43,9,6,0.9,0,0.47368421052631576
utterance_43_11,43,11,6,0.9,0,0.5789473684210527
utterance_43_13,43,13,1,0.9,0,0.6842105263157895
utterance_43_15,43,15,3,0.9,0,0.7894736842105263
utterance_43_17,43,17,3,0.9,0,0.8947368421052632
utterance_43_19,43,19,10,0.9,0,1.0
utterance_46_7,46,7,6,0.9,0,0.15217391304347827
utterance_46_9,46,9,9,0.9,0,0.1956521739130435
utterance_46_14,46,14,7,0.9,0,0.30434782608695654
utterance_46_22,46,22,5,0.9,0,0.4782608695652174
utterance_46_24,46,24,5,1.0,0,0.5217391304347826
utterance_46_25,46,25,5,0.9,0,0.5434782608695652
utterance_46_30,46,30,6,0.9,0,0.6521739130434783
utterance_46_34,46,34,9,0.9,0,0.7391304347826086
utterance_46_39,46,39,9,0.9,0,0.8478260869565217
utterance_46_43,46,43,4,0.9,0,0.9347826086956522
utterance_46_46,46,46,8,0.8,0,1.0
utterance_47_1,47,1,4,0.9,0,0.038461538461538464
utterance_47_3,47,3,9,0.9,0,0.11538461538461539
utterance_47_5,47,5,9,0.9,0,0.19230769230769232
utterance_47_9,47,9,4,0.9,0,0.34615384615384615
utterance_47_12,47,12,4,0.9,0,0.46153846153846156
utterance_47_16,47,16,4,0.9,0,0.6153846153846154
utterance_47_18,47,18,9,0.9,0,0.6923076923076923
utterance_47_19,47,19,8,0.9,0,0.7307692307692307
utterance_47_23,47,23,8,0.85,1,0.8846153846153846
utterance_47_25,47,25,9,0.9,0,0.9615384615384616
utterance_47_26,47,26,5,0.9,0,1.0
utterance_48_1,48,1,4,0.9,0,0.045454545454545456
utterance_48_3,48,3,7,0.9,0,0.13636363636363635
utterance_48_5,48,5,7,0.9,0,0.22727272727272727
utterance_48_7,48,7,4,0.9,0,0.3181818181818182
utterance_48_9,48,9,4,0.9,0,0.4090909090909091
utterance_48_12,48,12,4,0.9,0,0.5454545454545454
utterance_48_14,48,14,4,0.9,1,0.6363636363636364
utterance_48_16,48,16,9,0.9,0,0.7272727272727273
utterance_48_17,48,17,8,0.9,1,0.7727272727272727
utterance_48_20,48,20,5,0.9,0,0.9090909090909091
utterance_48_22,48,22,3,1.0,0,1.0
utterance_51_1,51,1,4,0.9,0,0.05263157894736842
utterance_51_3,51,3,1,0.9,0,0.15789473684210525
utterance_51_5,51,5,4,0.9,0,0.2631578947368421
utterance_51_7,51,7,7,0.9,0,0.3684210526315789
utterance_51_9,51,9,0,0.9,0,0.47368421052631576
utterance_51_11,51,11,1,0.9,0,0.5789473684210527
utterance_51_13,51,13,0,0.9,0,0.6842105263157895
utterance_51_15,51,15,0,0.9,0,0.7894736842105263
utterance_51_17,51,17,5,0.9,0,0.8947368421052632
utterance_51_19,51,19,5,1.0,0,1.0
utterance_53_2,53,2,4,0.9,0,0.044444444444444446
utterance_53_5,53,5,9,0.9,0,0.1111111111111111
utterance_53_7,53,7,7,0.9,0,0.15555555555555556
utterance_53_8,53,8,4,0.9,0,0.17777777777777778
utterance_53_11,53,11,9,0.9,0,0.24444444444444444
utterance_53_13,53,13,8,0.8,0,0.28888888888888886
utterance_53_16,53,16,9,0.9,0,0.35555555555555557
utterance_53_19,53,19,6,0.9,0,0.4222222222222222
utterance_53_23,53,23,9,0.9,0,0.5111111111111111
utterance_53_24,53,24,4,0.9,1,0.5333333333333333
utterance_53_26,53,26,9,0.9,0,0.5777777777777777
utterance_53_28,53,28,9,0.9,0,0.6222222222222222
utterance_53_30,53,30,9,0.9,0,0.6666666666666666
utterance_53_31,53,31,9,0.9,0,0.6888888888888889
utterance_53_35,53,35,6,0.9,0,0.7777777777777778
